Proccess,ID,Target,F1mean,F1std,ROCmean,ROCstd
1b,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1076,0.0508,0.0947,0.0513
1b,['S1'],Y1,0.474,0.0358,0.4402,0.0691
1b,['S1' 'S2'],Y1,0.4607,0.0536,0.4394,0.049
1b,['S1' 'S2' 'S3'],Y1,0.4571,0.0783,0.4309,0.0577
1b,['S1' 'S2' 'S3' 'C5~'],Y1,0.4757,0.0637,0.4343,0.0416
1b,['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4453,0.0424,0.4145,0.0451
1b,['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4672,0.056,0.4104,0.0382
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio']",Y1,0.4595,0.0446,0.4096,0.0349
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4598,0.0409,0.4076,0.0376
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4445,0.0645,0.4079,0.0585
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4639,0.0484,0.3992,0.0525
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1076,0.0508,0.0921,0.0526
1b,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1076,0.0508,0.092,0.0525
1b,['S2'],Y1,0.458,0.0807,0.4273,0.0581
1b,['S2' 'S3'],Y1,0.4712,0.0929,0.4181,0.0628
1b,['S2' 'S3' 'C5~'],Y1,0.4683,0.082,0.4288,0.0484
1b,['S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.443,0.0478,0.4112,0.0456
1b,['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4557,0.06,0.4033,0.0406
1b,['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'],Y1,0.4537,0.0511,0.4024,0.0403
1b,"['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4498,0.0476,0.4007,0.0417
1b,"['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.4441,0.0688,0.402,0.0621
1b,"['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4521,0.0526,0.3941,0.0578
1b,"['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1061,0.0502,0.0923,0.055
1b,"['S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1061,0.0502,0.0927,0.0548
1b,['S3'],Y1,0.4893,0.0435,0.4725,0.0428
1b,['S3' 'C5~'],Y1,0.4879,0.0528,0.4673,0.0584
1b,['S3' 'C5~' 'pos_word_ratio'],Y1,0.486,0.0561,0.4405,0.0466
1b,['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4482,0.0595,0.4016,0.033
1b,['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'],Y1,0.4552,0.0614,0.3994,0.0297
1b,"['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4496,0.0697,0.3967,0.0333
1b,"['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.4562,0.0817,0.4027,0.0657
1b,"['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4426,0.0501,0.3916,0.0532
1b,"['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1061,0.0502,0.0961,0.0582
1b,"['S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1061,0.0502,0.0961,0.0576
1b,['C5~'],Y1,0.4765,0.0681,0.4677,0.0823
1b,['C5~' 'pos_word_ratio'],Y1,0.4973,0.0505,0.444,0.0526
1b,['C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.441,0.0655,0.3978,0.0253
1b,['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'],Y1,0.4366,0.0776,0.3948,0.0224
1b,"['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4385,0.0797,0.3946,0.0261
1b,"['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.4314,0.0589,0.3999,0.0487
1b,"['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4472,0.026,0.3909,0.0475
1b,"['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1061,0.0502,0.0986,0.0574
1b,"['C5~' 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1061,0.0502,0.0984,0.0568
1b,['pos_word_ratio'],Y1,0.5081,0.0591,0.441,0.0659
1b,['pos_word_ratio' 'neg_word_ratio'],Y1,0.4609,0.0557,0.3831,0.0456
1b,['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'],Y1,0.4552,0.0577,0.386,0.0467
1b,"['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y1,0.4468,0.0699,0.3861,0.0385
1b,"['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y1,0.4292,0.0545,0.3897,0.0575
1b,"['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4261,0.0328,0.3828,0.0536
1b,"['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1061,0.0502,0.0926,0.0487
1b,"['pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1061,0.0502,0.0928,0.0489
1b,['neg_word_ratio'],Y1,0.4643,0.0863,0.393,0.0663
1b,['neg_word_ratio' 'sales_share_ratio'],Y1,0.4745,0.0848,0.3972,0.0659
1b,['neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio'],Y1,0.4676,0.0904,0.393,0.0678
1b,['neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'],Y1,0.4633,0.0693,0.3924,0.0834
1b,"['neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y1,0.4328,0.0539,0.3864,0.0643
1b,"['neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y1,0.1061,0.0502,0.0967,0.0542
1b,"['neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y1,0.1061,0.0502,0.0962,0.0531
1b,['sales_share_ratio'],Y1,0.7072,0.1801,0.5365,0.0788
1b,['sales_share_ratio' 'sharesoff_shareout_ratio'],Y1,0.5776,0.1051,0.4782,0.0766
1b,['sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'],Y1,0.6746,0.1033,0.4468,0.0837
1b,['sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~'],Y1,0.4232,0.0467,0.4157,0.0578
1b,['sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~'],Y1,0.1061,0.0502,0.1202,0.0562
1b,['sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS'],Y1,0.1061,0.0502,0.1205,0.0561
1b,['sharesoff_shareout_ratio'],Y1,0.5715,0.1278,0.4661,0.0841
1b,['sharesoff_shareout_ratio' 'C2'],Y1,0.698,0.1066,0.438,0.0842
1b,['sharesoff_shareout_ratio' 'C2' 'C3~'],Y1,0.4256,0.0512,0.4203,0.0648
1b,['sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~'],Y1,0.1061,0.0502,0.1309,0.0605
1b,['sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS'],Y1,0.1061,0.0502,0.1318,0.0605
1b,['C2'],Y1,0.7503,0.1119,0.4751,0.0597
1b,['C2' 'C3~'],Y1,0.4248,0.0513,0.4389,0.0572
1b,['C2' 'C3~' 'C6~'],Y1,0.1061,0.0502,0.1182,0.0591
1b,['C2' 'C3~' 'C6~' 'bin_EPS'],Y1,0.1061,0.0502,0.1202,0.0578
1b,['C3~'],Y1,0.432,0.04,0.4389,0.0426
1b,['C3~' 'C6~'],Y1,0.1061,0.0502,0.1308,0.0558
1b,['C3~' 'C6~' 'bin_EPS'],Y1,0.1061,0.0502,0.1322,0.0562
1b,['C6~'],Y1,0.1061,0.0502,0.1147,0.0486
1b,['C6~' 'bin_EPS'],Y1,0.1061,0.0502,0.12,0.0553
1b,['bin_EPS'],Y1,0.4308,0.0396,0.4345,0.0422
1b,['C1'],Y2,0.4956,0.0742,0.4941,0.0329
1b,['C1' 'C4'],Y2,0.4594,0.0535,0.4424,0.0488
1b,['C1' 'C4' 'C5'],Y2,0.4609,0.0628,0.4459,0.0467
1b,['C1' 'C4' 'C5' 'C6'],Y2,0.4455,0.0521,0.4388,0.0394
1b,['C1' 'C4' 'C5' 'C6' 'T1'],Y2,0.4526,0.0381,0.4394,0.0478
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2'],Y2,0.4533,0.0451,0.43,0.0452
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3'],Y2,0.445,0.0417,0.4263,0.038
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y2,0.4645,0.0471,0.4265,0.0325
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y2,0.4666,0.0386,0.4337,0.0336
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y2,0.4431,0.0401,0.4163,0.0413
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y2,0.4239,0.0458,0.3912,0.0317
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y2,0.4265,0.0371,0.402,0.038
1b,['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y2,0.4185,0.0495,0.3935,0.0472
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio']",Y2,0.4229,0.0411,0.3954,0.049
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio']",Y2,0.4273,0.0459,0.3966,0.0471
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio']",Y2,0.4235,0.0453,0.3969,0.0462
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y2,0.4317,0.0437,0.3944,0.048
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y2,0.4322,0.0503,0.3901,0.0494
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y2,0.428,0.0558,0.385,0.0511
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y2,0.4133,0.0657,0.3499,0.0498
1b,"['C1' 'C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y2,0.4183,0.0684,0.356,0.0521
1b,['C4'],Y2,0.4539,0.0409,0.446,0.0469
1b,['C4' 'C5'],Y2,0.4582,0.0504,0.4474,0.0411
1b,['C4' 'C5' 'C6'],Y2,0.4713,0.0409,0.4366,0.041
1b,['C4' 'C5' 'C6' 'T1'],Y2,0.4579,0.0352,0.4325,0.0481
1b,['C4' 'C5' 'C6' 'T1' 'T2'],Y2,0.4533,0.0508,0.4275,0.0457
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3'],Y2,0.4586,0.0411,0.4272,0.0524
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y2,0.4603,0.0459,0.4314,0.0413
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y2,0.4609,0.0452,0.4292,0.0387
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y2,0.4526,0.054,0.4166,0.0453
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y2,0.4229,0.0504,0.3951,0.0471
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y2,0.4346,0.0472,0.3933,0.0459
1b,['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y2,0.4346,0.0473,0.4022,0.0485
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio']",Y2,0.4327,0.0561,0.4013,0.0492
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio']",Y2,0.4358,0.0523,0.3999,0.0485
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio']",Y2,0.439,0.0478,0.3995,0.0476
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio']",Y2,0.4328,0.047,0.3983,0.0487
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2']",Y2,0.4235,0.0312,0.3972,0.0449
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y2,0.4228,0.062,0.3821,0.0506
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y2,0.4107,0.0557,0.3476,0.052
1b,"['C4' 'C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'
 'pos_word_ratio' 'neg_word_ratio' 'sales_share_ratio'
 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y2,0.4195,0.0612,0.3554,0.0432
1b,['C5'],Y2,0.5978,0.2195,0.5422,0.0318
1b,['C5' 'C6'],Y2,0.472,0.0572,0.4782,0.0592
1b,['C5' 'C6' 'T1'],Y2,0.4928,0.0448,0.4701,0.046
1b,['C5' 'C6' 'T1' 'T2'],Y2,0.472,0.0478,0.4638,0.0422
1b,['C5' 'C6' 'T1' 'T2' 'T3'],Y2,0.4746,0.0548,0.4612,0.0477
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4'],Y2,0.4696,0.0341,0.4658,0.0434
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y2,0.4608,0.0334,0.4628,0.0418
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y2,0.4728,0.0431,0.4373,0.043
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y2,0.4399,0.0506,0.4188,0.0479
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y2,0.4483,0.0495,0.4189,0.0497
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y2,0.4528,0.0435,0.4217,0.0445
1b,['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y2,0.4528,0.0388,0.4189,0.0511
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y2,0.4521,0.0412,0.4181,0.0497
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y2,0.4548,0.0363,0.4201,0.0507
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y2,0.4533,0.038,0.4152,0.0496
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y2,0.4603,0.0673,0.4167,0.0437
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y2,0.4389,0.0525,0.4077,0.067
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y2,0.4334,0.0503,0.3668,0.0516
1b,"['C5' 'C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y2,0.4428,0.0772,0.3738,0.0624
1b,['C6'],Y2,0.4726,0.0371,0.4823,0.0497
1b,['C6' 'T1'],Y2,0.5115,0.0598,0.4844,0.0623
1b,['C6' 'T1' 'T2'],Y2,0.5136,0.0545,0.492,0.0606
1b,['C6' 'T1' 'T2' 'T3'],Y2,0.4873,0.0509,0.4795,0.0673
1b,['C6' 'T1' 'T2' 'T3' 'T4'],Y2,0.486,0.0562,0.4737,0.064
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y2,0.4899,0.039,0.4748,0.0595
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y2,0.4809,0.0568,0.4498,0.0717
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y2,0.4488,0.0609,0.4283,0.0574
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y2,0.4494,0.0603,0.4305,0.0641
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y2,0.4538,0.0533,0.4281,0.0594
1b,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y2,0.4586,0.05,0.4286,0.0609
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y2,0.4604,0.0442,0.4268,0.0581
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y2,0.4599,0.0465,0.4302,0.056
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y2,0.4574,0.0511,0.4227,0.0604
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y2,0.4448,0.0664,0.4074,0.0556
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y2,0.4374,0.0534,0.4037,0.0617
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y2,0.4381,0.0575,0.3681,0.0508
1b,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y2,0.444,0.0614,0.3795,0.0537
1b,['T1'],Y2,0.4826,0.0767,0.4674,0.0758
1b,['T1' 'T2'],Y2,0.4764,0.0774,0.4733,0.0745
1b,['T1' 'T2' 'T3'],Y2,0.4572,0.0581,0.4689,0.0748
1b,['T1' 'T2' 'T3' 'T4'],Y2,0.4905,0.0512,0.4712,0.0671
1b,['T1' 'T2' 'T3' 'T4' 'T5'],Y2,0.4769,0.0406,0.466,0.0622
1b,['T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y2,0.4764,0.0436,0.449,0.0651
1b,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y2,0.4475,0.0571,0.4202,0.0502
1b,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y2,0.4429,0.0516,0.4147,0.0581
1b,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y2,0.4432,0.0498,0.4187,0.0575
1b,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y2,0.4518,0.0478,0.4198,0.0578
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y2,0.4444,0.0483,0.4158,0.0533
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y2,0.44,0.0502,0.4148,0.056
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y2,0.4391,0.0456,0.4125,0.0571
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y2,0.4505,0.0628,0.4092,0.0459
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y2,0.437,0.0648,0.4069,0.0646
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y2,0.4308,0.0784,0.3659,0.0582
1b,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y2,0.4315,0.0695,0.3719,0.0607
1b,['T2'],Y2,0.4878,0.0648,0.4697,0.0674
1b,['T2' 'T3'],Y2,0.4564,0.0614,0.4561,0.0733
1b,['T2' 'T3' 'T4'],Y2,0.4848,0.0471,0.4624,0.0684
1b,['T2' 'T3' 'T4' 'T5'],Y2,0.4714,0.0352,0.4574,0.0599
